"Team","Season","Games","ShtFShots For","ShtAShots Against","GFGoals For (Own goals excluded.)","GAGoals Against (Own goals excluded.)","GDGoal Difference (Own goals excluded.)","xGFxGoals For (Own goals excluded.)","xGAxGoals Against (Own goals excluded.)","xGDxGoal Difference (Own goals excluded.)","GD-xGD","Pts","xPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"NYRB","2017","34","450","390","50","46","4","52.4205","45.5173","6.9032","-2.9032","50","50.812"
"FCD","2013","34","430","438","46","49","-3","45.4734","45.5792","-0.1058","-2.8942","44","47.953"
"HOU","2013","34","472","428","40","39","1","47.2342","43.4036","3.8306","-2.8305","51","48.842"
"COL","2017","34","324","489","31","49","-18","34.236","49.5746","-15.3387","-2.6613","33","35.645"
"PHI","2013","34","459","434","42","43","-1","44.9856","43.3341","1.6515","-2.6515","46","48.193"
"SKC","2017","34","514","341","39","27","12","47.7404","33.4288","14.3116","-2.3116","49","56.033"
"COL","2015","34","417","411","33","42","-9","34.2804","41.0759","-6.7955","-2.2045","37","41.75"
"HOU","2015","34","376","374","42","47","-5","37.7937","40.7021","-2.9084","-2.0916","42","43.562"
"NYRB","2015","34","476","399","62","42","20","60.6787","38.7168","21.9619","-1.9619","60","60.649"
"PHI","2019","34","475","394","57","49","8","57.0359","47.3506","9.6853","-1.6853","55","53.063"
"SEA","2017","34","500","410","51","39","12","54.5602","40.9122","13.648","-1.648","53","55.35"
"POR","2017","34","480","418","59","49","10","53.6087","42.3156","11.2931","-1.2931","53","54.156"
"TOR","2016","34","478","383","51","38","13","50.8112","36.5352","14.276","-1.276","53","57.408"
"SEA","2016","34","432","430","43","43","0","48.244","47.0413","1.2027","-1.2027","48","47.069"
