"Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"Ola Kamara","DCU","2019","M","240000","260000","2019-09-13"
"Mathieu Deplagne","CIN","2019","D","240000","254400","2019-09-13"
"A.J. DeLaGarza","HOU","2019","D","249999.96","253749.96","2019-09-13"
"Marco Delgado","TOR","2019","M","252999.96","252999.96","2019-09-13"
"Alvas Powell","CIN","2019","D","234999.96","251624.96","2019-09-13"
"Johan Blomberg","COL","2019","M","250962","250962","2019-09-13"
"Edgar Castillo","NER","2019","D","249999.96","249999.96","2019-09-13"
"Shea Salinas","SJE","2019","M","249999.96","249999.96","2019-09-13"
"Ronaldo Peña","HOU","2019","F","249999.96","249999.96","2019-09-13"
"Russell Canouse","DCU","2019","M","247500","247500","2019-09-13"
"Rolf Feltscher","LAG","2019","D","218000.04","242650.04","2019-09-13"
"Brooks Lennon","RSL","2019","D","230004","242587.33","2019-09-13"
"Luis Martins","SKC","2019","D","240000","240000","2019-09-13"
"Jordan Allen","RSL","2019","M","237999.96","237999.96","2019-09-13"
"Jeremy Ebobisse","POR","2019","F","174999.96","237999.96","2019-09-13"
"Andrew Tarbell","SJE","2019","GK","200000.04","235000.04","2019-09-13"
"Harry Shipp","SEA","2019","M","234999.96","234999.96","2019-09-13"
"Jesse González","FCD","2019","GK","217500","231500","2019-09-13"
"Matías Vera","HOU","2019","D","225000","231250","2019-09-13"
"Brek Shea","ATL","2019","D","225000","225000","2019-09-13"
"Jeisson Vargas","MTL","2019","M","225000","225000","2019-09-13"
"Eddie Segura","LAFC","2019","D","199999.92","223999.92","2019-09-13"
"Kevin Kratz","ATL","2019","M","210000","222750","2019-09-13"
"Pablo Ruiz","RSL","2019","M","200004","221004","2019-09-13"
"Orji Okwonkwo","MTL","2019","M","200000.04","220000.04","2019-09-13"
"Nick Lima","SJE","2019","D","200000.04","218437.54","2019-09-13"
"Josh Williams","CLB","2019","D","215000.04","215000.04","2019-09-13"
"Dairon Asprilla","POR","2019","M","200000.04","213750.04","2019-09-13"
"Victor Ulloa","CIN","2019","D","210000","212500","2019-09-13"
"Brandon Servania","FCD","2019","M","160000.08","211000.08","2019-09-13"
"Daniel Vega","SJE","2019","GK","200000.04","210000.04","2019-09-13"
"Jeff Larentowicz","ATL","2019","D","210000","210000","2019-09-13"
"Mohamed El-Munir","LAFC","2019","D","185000.04","207666.71","2019-09-13"
"Tony Beltran","RSL","2019","D","195000","207000","2019-09-13"
"Dominique Badji","FCD","2019","F","200000.04","206250.04","2019-09-13"
"Robinho","ORL","2019","M","198000","205500","2019-09-13"
"Diego Fagundez","NER","2019","M","185000.04","205000.04","2019-09-13"
"Doneil Henry","VAN","2019","D","190008","204241.71","2019-09-13"
"João Moutinho","ORL","2019","D","139999.92","202999.92","2019-09-13"
"Miles Robinson","ATL","2019","D","145000.08","201250.08","2019-09-13"
"Danilo Silva","LAFC","2019","D","200000.04","200000.04","2019-09-13"
"Héctor Jiménez","CLB","2019","D","200000.04","200000.04","2019-09-13"
"Dillon Powers","ORL","2019","M","200000.04","200000.04","2019-09-13"
"Ben Sweat","NYC","2019","D","200000.04","200000.04","2019-09-13"
"Waylon Francis","CLB","2019","D","160000.08","199166.75","2019-09-13"
"Ema Twumasi","FCD","2019","M","150000","196900","2019-09-13"
"Andy Rose","VAN","2019","M","192500.04","192500.04","2019-09-13"
"Bobby Shuttleworth","MIN","2019","GK","174999.96","191874.96","2019-09-13"
"Raymon Gaddis","PHI","2019","D","190000.08","190000.08","2019-09-13"
"Jackson Yueill","SJE","2019","M","145000.08","190000.08","2019-09-13"
"Russell Teibert","VAN","2019","D","170000.04","190000.04","2019-09-13"
"Chris Pontius","LAG","2019","M","189999.96","189999.96","2019-09-13"
"Zac MacMath","VAN","2019","GK","189999.96","189999.96","2019-09-13"
"Fatai Alashe","CIN","2019","D","189999.96","189999.96","2019-09-13"
"Mason Toye","MIN","2019","F","135000","188000","2019-09-13"
"Jeff Attinella","POR","2019","GK","174999.96","187249.96","2019-09-13"
"Rodolfo Zelaya","LAFC","2019","F","162500.04","185833.37","2019-09-13"
"Emmanuel Boateng","DCU","2019","M","185000.04","185000.04","2019-09-13"
"Ulises Segura","DCU","2019","M","169999.92","184249.92","2019-09-13"
"Nicolas Hasler","SKC","2019","M","168000","183666.67","2019-09-13"
"Boniek García","HOU","2019","M","168000","183000","2019-09-13"
"Erik Hurtado","SKC","2019","F","174999.96","181249.96","2019-09-13"
"Abu Danladi","MIN","2019","F","145000.08","180000.08","2019-09-13"
"Jasser Khmiri","VAN","2019","D","180000","180000","2019-09-13"
"Axel Sjöberg","COL","2019","D","174996","179996","2019-09-13"
"Francis Atuahene","FCD","2019","M","135000","179000","2019-09-13"
"Mark-Anthony Kaye","LAFC","2019","M","166248","177810.5","2019-09-13"
"Warren Creavalle","PHI","2019","D","162000","175300","2019-09-13"
"Nick DeLeon","TOR","2019","D","159528","175269.67","2019-09-13"
"Aurélien Collin","PHI","2019","D","175000.08","175000.08","2019-09-13"
"Anthony Jackson-Hamel","MTL","2019","F","160000.08","175000.08","2019-09-13"
"Ryan Hollingshead","FCD","2019","D","174999.96","174999.96","2019-09-13"
"Tommy Thompson","SJE","2019","D","174999.96","174999.96","2019-09-13"
"Fafa Picault","PHI","2019","M","159999.96","173666.63","2019-09-13"
"Joe Willis","HOU","2019","GK","165000","172833.33","2019-09-13"
"Alejandro Fuenmayor","HOU","2019","D","145008","172508","2019-09-13"
"Víctor Cabrera","MTL","2019","D","150000","172328.33","2019-09-13"
"Frankie Amaya","CIN","2019","M","110000.04","172000.04","2019-09-13"
"Matías Pellegrini","MIA","2019","M","75000","170833.33","2019-09-13"
"Scott Sutter","VAN","2019","D","155000.04","170177.04","2019-09-13"
"Julio Cascante","POR","2019","D","170004","170004","2019-09-13"
"Joe Gyau","CIN","2019","M","148200","168640","2019-09-13"
"Tyler Deric","HOU","2019","GK","159999.96","167499.96","2019-09-13"
"Brandon Vázquez","ATL","2019","F","150000","166000","2019-09-13"
"Chris Seitz","DCU","2019","GK","165000","165000","2019-09-13"
"Jordan Harvey","LAFC","2019","D","165000","165000","2019-09-13"
"Tommy McNamara","HOU","2019","M","165000","165000","2019-09-13"
"Keaton Parks","NYC","2019","D","150000","165000","2019-09-13"
"Keegan Rosenberry","COL","2019","D","151194.96","164944.96","2019-09-13"
"Joseph Mora","DCU","2019","D","150000","164250","2019-09-13"
"Juninho Pereira","LAG","2019","M","150000","163125","2019-09-13"
